target_organism,record_count
Homo sapiens,8484
Rattus norvegicus,1007
Electrophorus electricus,449
Human immunodeficiency virus 1,296
Equus caballus,289
Mus musculus,158
Bos taurus,158
Escherichia coli K-12,62
Mycobacterium tuberculosis,56
Staphylococcus aureus,55
Escherichia coli,54
Plasmodium falciparum FcB1/Columbia,43
Pseudomonas aeruginosa,41
Streptococcus pyogenes serotype M1,37
Saccharomyces cerevisiae S288c,36
Sus scrofa,29
Ovis aries,29
Canavalia ensiformis,28
Bacillus anthracis,23
Photinus pyralis,18
Candida albicans (strain WO-1) (Yeast),18
Glycine max,18
Cavia porcellus,17
Nicotiana tabacum,15
Cryptosporidium parvum,13
Caenorhabditis elegans,12
Trypanosoma cruzi,11
Plasmodium falciparum,10
Plasmodium falciparum 3D7,9
Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R),9
Thermus aquaticus,8
Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC27009 / DSM 446 / 104-1A) (Bacillus acidocaldarius),7
Agaricus bisporus,7
Herpes simplex virus (type 1 / strain 17),7
Human herpesvirus 8,4
Human herpesvirus 4 (strain B95-8),4
Sus scrofa domesticus,4
Severe acute respiratory syndrome coronavirus 2,3
Oryctolagus cuniculus,3
Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1),3
Toxoplasma gondii,3
Salmonella choleraesuis (strain SC-B67),3
Pseudomonas aeruginosa (strain LESB58),2
Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),2
Infectious bronchitis virus,2
Bacteria,2
Trypanosoma brucei,2
Hepatitis C virus,2
Cochliobolus lunatus,2
Danio rerio,2
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2
Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656/ NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),2
Plasmodium berghei,2
Cavia cutleri,1
Mesocricetus auratus,1
Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM4680),1
Vibrio harveyi,1
Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),1
Candida albicans,1
Leishmania mexicana,1
Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1
Plasmodium falciparum (isolate 3D7),1
Influenza A virus,1
dengue virus type 2,1
Mycobacterium smegmatis,1
Hathewaya histolytica,1
Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),1
Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4),1
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),1
Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),1
