compound_id,chembl_target_degree,family_aware_degree,target_family_list,target_chembl_id_list,high_family_degree_flag
CHEMBL6246,71,8,Carbonic anhydrases; G protein-coupled receptors; Ion channels and transporters; Kinases; Monoamine oxidases; Other enzymes; Other/unclassified; Proteases,CHEMBL1075126; CHEMBL1275223; CHEMBL1293258; CHEMBL1293267; CHEMBL1293308; CHEMBL1641347; CHEMBL1697656; CHEMBL1741221; CHEMBL1824; CHEMBL1900; CHEMBL1913; CHEMBL1951; CHEMBL1955; CHEMBL1957; CHEMBL1981; CHEMBL1991; CHEMBL203; CHEMBL205; CHEMBL2085; CHEMBL2185; CHEMBL2186; CHEMBL2326; CHEMBL2409; CHEMBL2487; CHEMBL261; CHEMBL262; CHEMBL2622; CHEMBL267; CHEMBL2695; CHEMBL2755; CHEMBL279; CHEMBL2885; CHEMBL3024; CHEMBL3025; CHEMBL3242; CHEMBL3471; CHEMBL3510; CHEMBL3563; CHEMBL3594; CHEMBL3629; CHEMBL3713355; CHEMBL3717; CHEMBL3729; CHEMBL3788; CHEMBL3902; CHEMBL3912; CHEMBL3969; CHEMBL4105924; CHEMBL4128; CHEMBL4241; CHEMBL4282; CHEMBL4362; CHEMBL4363; CHEMBL4364; CHEMBL4394; CHEMBL4524025; CHEMBL4680034; CHEMBL4722; CHEMBL4739681; CHEMBL4789; CHEMBL4822; CHEMBL4899; CHEMBL5145; CHEMBL5147; CHEMBL5391; CHEMBL5406; CHEMBL5460; CHEMBL5511; CHEMBL5542; CHEMBL5784; CHEMBL5957,1
CHEMBL71851,12,6,Carbonic anhydrases; Cholinesterases; Cytochrome P450s; Other enzymes; Other/unclassified; Proteases,CHEMBL1741189; CHEMBL1900; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3356; CHEMBL3594; CHEMBL3912; CHEMBL4078; CHEMBL4358; CHEMBL4361; CHEMBL5939,1
CHEMBL12208,10,6,Carbonic anhydrases; Cytochrome P450s; Kinases; Monoamine oxidases; Other enzymes; Other/unclassified,CHEMBL1287617; CHEMBL1900; CHEMBL2039; CHEMBL2622; CHEMBL279; CHEMBL3242; CHEMBL3356; CHEMBL3594; CHEMBL4234; CHEMBL4361,1
CHEMBL24171,9,6,Cytochrome P450s; G protein-coupled receptors; Ion channels and transporters; Kinases; Monoamine oxidases; Nuclear receptors,CHEMBL1951; CHEMBL208; CHEMBL2086; CHEMBL2231; CHEMBL256; CHEMBL3356; CHEMBL4878; CHEMBL5282; CHEMBL5508,1
CHEMBL1466,15,5,Cytochrome P450s; G protein-coupled receptors; Kinases; Other enzymes; Other/unclassified,CHEMBL1293267; CHEMBL2150835; CHEMBL2232; CHEMBL2622; CHEMBL288; CHEMBL3091269; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL3623; CHEMBL4040; CHEMBL4161; CHEMBL6020; CHEMBL6086,1
CHEMBL244743,12,5,Carbonic anhydrases; Cytochrome P450s; Other enzymes; Other/unclassified; Proteases,CHEMBL1900; CHEMBL1929; CHEMBL221; CHEMBL2275; CHEMBL3242; CHEMBL3356; CHEMBL340; CHEMBL3594; CHEMBL3774295; CHEMBL4361; CHEMBL5362; CHEMBL5939,1
CHEMBL416,11,5,Cholinesterases; Cytochrome P450s; Ion channels and transporters; Monoamine oxidases; Other enzymes,CHEMBL1951; CHEMBL220; CHEMBL238; CHEMBL254; CHEMBL289; CHEMBL3318; CHEMBL3356; CHEMBL340; CHEMBL3542436; CHEMBL3622; CHEMBL5282,1
CHEMBL108660,10,4,Cholinesterases; Monoamine oxidases; Other enzymes; Proteases,CHEMBL1075138; CHEMBL1741207; CHEMBL1741213; CHEMBL1741215; CHEMBL1951; CHEMBL2039; CHEMBL2334; CHEMBL2993; CHEMBL3358; CHEMBL5763,1
CHEMBL51628,8,4,Carbonic anhydrases; Other enzymes; Other/unclassified; Proteases,CHEMBL1293200; CHEMBL1900; CHEMBL261; CHEMBL3242; CHEMBL3594; CHEMBL4361; CHEMBL4586; CHEMBL5939,1
CHEMBL1531320,7,4,G protein-coupled receptors; Kinases; Nuclear receptors; Other enzymes,CHEMBL1293228; CHEMBL206; CHEMBL242; CHEMBL2955; CHEMBL3230; CHEMBL4333; CHEMBL5567,1
