molecule_chembl_id,target_chembl_id,record_count,canonical_smiles,target_name,target_organism,uniprot_accession,endpoint_types,dominant_endpoint,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL286738,CHEMBL3559,24,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,Steryl-sulfatase,Homo sapiens,P08842,IC50,IC50,20,2001,2024,5.58,8.97,3.39
CHEMBL11185,CHEMBL3559,14,Cc1cc(=O)oc2cc(OS(N)(=O)=O)ccc12,Steryl-sulfatase,Homo sapiens,P08842,IC50,IC50,14,1996,2022,4.86,7.52,2.66
CHEMBL75121,CHEMBL220,11,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,Acetylcholinesterase,Homo sapiens,Q9BXP7,Ki; IC50,IC50,10,2003,2018,7.35,7.66,0.31
CHEMBL150372,CHEMBL5485,10,O=c1oc2ccccc2cc1O,D-amino-acid oxidase,Homo sapiens,Q8N6R2,Ki; IC50; Kd,Ki,2,2013,2013,5.2,7.89,2.69
CHEMBL416,CHEMBL5282,8,COc1c2occc2cc2ccc(=O)oc12,Cytochrome P450 2A6,Homo sapiens,Q9UK48,Ki; IC50; Kd,Ki,3,2005,2023,4.96,7.05,2.09
CHEMBL437731,CHEMBL1978,8,O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,7,2004,2017,7.29,7.33,0.04
CHEMBL444449,CHEMBL4633,8,O=c1ccc2c(OCCCCOc3ccccc3)c3ccoc3cc2o1,Potassium voltage-gated channel subfamily A member 3,Homo sapiens,Q6P2D3,EC50; IC50,IC50,6,2006,2023,6.13,8.7,2.57
CHEMBL6338,CHEMBL3713355,8,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,Polypeptide N-acetylgalactosaminyltransferase 2,Homo sapiens,Q9NPY4,Kd; IC50; Ki,IC50,1,2019,2019,5.21,6.53,1.32
CHEMBL4571763,CHEMBL2039,7,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,Amine oxidase [flavin-containing] B,Homo sapiens,Q7Z6S2,IC50; Ki,IC50,3,2016,2022,6.71,7.64,0.93
CHEMBL1466,CHEMBL3623,6,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,NAD(P)H dehydrogenase [quinone] 1,Homo sapiens,Q86UK1,IC50,IC50,4,2006,2017,6.35,8.59,2.24
