descriptor,single_n,multi_n,single_median,multi_median,median_difference_multi_minus_single,mannwhitney_u,p_value,cliffs_delta_multi_vs_single,p_adjusted_bh,significant_bh_0_05
MolWt,3021,2369,374.4770000000001,388.4010000000001,13.924000000000035,3791106.5,0.00017562862907686996,0.05944933935785657,0.0005268858872306099,True
cLogP,3021,2369,3.7728800000000033,3.8190000000000017,0.046119999999998385,3612313.0,0.5494878180427125,0.009484334297597874,0.6161735190007674,False
TPSA,3021,2369,76.74,72.22,-4.519999999999996,3509935.0,0.22741554706614875,-0.01912586287433027,0.320875199484089,False
HBD,3021,2369,1.0,1.0,0.0,3255266.5,1.644053291486983e-09,-0.09029462958670198,9.864319748921897e-09,True
HBA,3021,2369,5.0,5.0,0.0,3643819.0,0.24065639961306673,0.01828889066809536,0.320875199484089,False
RotB,3021,2369,4.0,5.0,1.0,4044579.0,1.3396573969568353e-16,0.13028387610072678,1.6075888763482023e-15,True
RingCount,3021,2369,4.0,4.0,0.0,3658932.5,0.13607447949170084,0.022512456423999128,0.2721489589834017,False
AromaticRingCount,3021,2369,3.0,3.0,0.0,3737197.5,0.002827941549938831,0.04438411910212303,0.006787059719853194,True
HeavyAtomCount,3021,2369,27.0,28.0,1.0,3797243.0,0.0001117057639063438,0.06116422414702538,0.0004468230556253752,True
FractionCSP3,3021,2369,0.2,0.2,0.0,3658240.0,0.15884815185197965,0.022318932800353908,0.27231111746053654,False
LipinskiRo5Violations,3021,2369,0.0,0.0,0.0,3575375.5,0.9450710113781126,-0.000838090032219907,0.9450710113781126,False
LipinskiRo5Compliant,3021,2369,1.0,1.0,0.0,3603178.5,0.5648257257507034,0.006931638932705431,0.6161735190007674,False
