target_family,endpoint,record_count,family_record_count,percent_of_family_records
Carbonic anhydrases,Ki,1817,1870,97.16577540106952
Carbonic anhydrases,IC50,53,1870,2.8342245989304815
Cholinesterases,IC50,1195,1265,94.46640316205533
Cholinesterases,Ki,70,1265,5.533596837944664
Cytochrome P450s,AC50,266,492,54.0650406504065
Cytochrome P450s,IC50,125,492,25.406504065040654
Cytochrome P450s,Ki,98,492,19.91869918699187
Cytochrome P450s,Kd,2,492,0.40650406504065045
Cytochrome P450s,EC50,1,492,0.20325203252032523
G protein-coupled receptors,Ki,771,1278,60.328638497652584
G protein-coupled receptors,IC50,262,1278,20.50078247261346
G protein-coupled receptors,EC50,213,1278,16.666666666666664
G protein-coupled receptors,Kd,28,1278,2.190923317683881
G protein-coupled receptors,AC50,4,1278,0.3129890453834116
Ion channels and transporters,IC50,275,383,71.80156657963447
Ion channels and transporters,EC50,93,383,24.281984334203656
Ion channels and transporters,Kd,7,383,1.8276762402088773
Ion channels and transporters,Ki,6,383,1.5665796344647518
Ion channels and transporters,AC50,2,383,0.5221932114882507
Kinases,IC50,493,586,84.1296928327645
Kinases,EC50,44,586,7.508532423208192
Kinases,AC50,22,586,3.754266211604096
Kinases,Kd,14,586,2.3890784982935154
Kinases,Ki,13,586,2.218430034129693
Monoamine oxidases,IC50,1551,1618,95.85908529048207
Monoamine oxidases,Ki,64,1618,3.955500618046971
Monoamine oxidases,AC50,2,1618,0.12360939431396785
Monoamine oxidases,EC50,1,1618,0.061804697156983925
Nuclear receptors,IC50,452,594,76.0942760942761
Nuclear receptors,EC50,110,594,18.51851851851852
Nuclear receptors,Ki,22,594,3.7037037037037033
Nuclear receptors,Kd,7,594,1.1784511784511784
Nuclear receptors,AC50,3,594,0.5050505050505051
Other enzymes,IC50,1961,2130,92.06572769953053
Other enzymes,Ki,69,2130,3.2394366197183095
Other enzymes,AC50,45,2130,2.112676056338028
Other enzymes,EC50,41,2130,1.9248826291079812
Other enzymes,Kd,14,2130,0.6572769953051643
Other/unclassified,IC50,321,820,39.146341463414636
Other/unclassified,Ki,207,820,25.24390243902439
Other/unclassified,EC50,168,820,20.48780487804878
Other/unclassified,Kd,83,820,10.121951219512196
Other/unclassified,AC50,41,820,5.0
Proteases,IC50,388,543,71.45488029465929
Proteases,AC50,92,543,16.94290976058932
Proteases,Ki,55,543,10.128913443830571
Proteases,EC50,8,543,1.4732965009208103
