case_id,target_label,case_priority,target_chembl_id,target_name,target_organism,compound_id,canonical_smiles,inchi_key,endpoint,required_endpoint,pactivity,doi,year,record_id
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL3261206,O=C(NCCCN1CCOCC1)c1cc2cc([N+](=O)[O-])ccc2oc1=O,JDELIZJINUNKNL-UHFFFAOYSA-N,IC50,IC50,4.34,10.1016/j.ejmech.2014.04.060,2014,14662197
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL4527319,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(S(C)(=O)=O)cc4)C3)cc2oc1=O,MBTBGPAEQXNMDT-UHFFFAOYSA-N,IC50,IC50,6.95,10.1021/acs.jmedchem.6b00562,2016,19406954
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL2376887,CC(C)OC(=O)Nc1cc2ccccc2oc1=O,BDMJDPCZOKJISW-UHFFFAOYSA-N,IC50,IC50,5.18,10.1016/j.ejmech.2013.02.009,2013,13279597
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL4202589,COc1ccc(-c2cc3cc(C)ccc3oc2=O)nn1,PHEWYOXVDAYNDV-UHFFFAOYSA-N,IC50,IC50,4.75,10.1016/j.ejmech.2017.07.045,2017,18517407
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL3586574,Cc1c(C)c2ccc(OCCCN(C)Cc3ccccc3)cc2oc1=O.Cl,ZDRIPIJZYWVOLL-UHFFFAOYSA-N,IC50,IC50,6.87,10.1021/acs.jmedchem.5b00599,2015,15625510
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL4203878,Cc1ccc2cc(-c3ccc(Br)nn3)c(=O)oc2c1,VXNASMBKQYJUOW-UHFFFAOYSA-N,IC50,IC50,6.12,10.1016/j.ejmech.2017.07.045,2017,18517396
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL5083613,CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(C(F)F)cc(=O)oc3c2)cc1,KUBYHRTYKKZBKV-UHFFFAOYSA-N,IC50,IC50,6.89,10.1021/acs.jmedchem.1c01784,2022,24422254
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL4637131,Cc1c(O)c(=O)ccn1CCNC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,SUJRSHQYQXYHCL-UHFFFAOYSA-N,IC50,IC50,6.97,10.1016/j.bmc.2020.115550,2020,20685921
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL3586602,CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1.Cl,PLZFVBYBEXHETN-UHFFFAOYSA-N,IC50,IC50,7.35,10.1021/acs.jmedchem.5b00599,2015,15625520
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL4439320,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(F)cc4)C3)cc2oc1=O.Cl,YOWUEPXICGUKNK-UHFFFAOYSA-N,IC50,IC50,6.79,10.1021/acs.jmedchem.6b00562,2016,19406952
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL142799,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2,XQVDQBUDJDSCEP-UHFFFAOYSA-N,IC50,IC50,9.04,10.1021/jm060441e,2006,1773853
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL488266,COc1c(O)ccc2c3c(c(=O)oc12)CCCC3,LYZONZZZHMCKPP-UHFFFAOYSA-N,IC50,IC50,4.3,10.1021/jm800656v,2008,2592806
MAOB_HUMAN_IC50,Human MAO-B,primary,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,CHEMBL4089608,Cc1c(C#N)c(=O)oc2cc(OCCN3CCN(Cc4ccc(Br)cc4)CC3)ccc12,UEOQGXDNVOABCE-UHFFFAOYSA-N,IC50,IC50,5.85,10.1016/j.ejmech.2016.09.041,2017,18195012
