case_id,target_label,case_priority,target_chembl_id,target_name,target_organism,endpoint,compound_id,canonical_smiles,inchi_key,median_pactivity,mean_pactivity,std_pactivity,min_pactivity,max_pactivity,pactivity_range_within_duplicate_records,record_count_for_compound,doi_count_for_compound,doi_list,year_min,year_max,record_id_list,smiles_missing,duplicate_activity_flag
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL1940738,COc1cc2oc(=O)c(OCCCCOc3cc(O)cc(N(C)C)c3)c(C)c2cc1OC,INGQQCBCWQDABA-UHFFFAOYSA-N,9.63,9.63,0.0,9.63,9.63,0.0,1,1,10.1016/j.bmc.2011.12.042,2012,2012,8001639,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2047525,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc(-c3cc4ccccc4oc3=O)cc2)c1,RTMBGYVFBGIVHT-UHFFFAOYSA-N,8.92,8.92,0.0,8.92,8.92,0.0,1,1,10.1016/j.ejmech.2022.114606,2022,2022,24963251,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL340625,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,XVJDMVSHDMGRQA-UHFFFAOYSA-N,8.24,8.24,0.0,8.24,8.24,0.0,2,2,10.1007/s00044-010-9373-7; 10.1016/j.ejmech.2009.12.038,2010,2011,12427229; 3316260,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL5219522,Cc1c(Cl)c(=O)oc2cc(OCCCCSC(=S)N3CCCCC3C)ccc12,QPKSHJTZCXULAH-UHFFFAOYSA-N,8.17,8.17,0.0,8.17,8.17,0.0,1,1,10.1016/j.ejmech.2022.114606,2022,2022,24963331,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL396199,COc1cc2cc(-c3ccc(C[N+](C)(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC.[I-],QORXOGZMDOMBOV-UHFFFAOYSA-M,7.98,7.98,0.0,7.98,7.98,0.0,1,1,10.1021/jm070100g,2007,2007,1915646,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3828693,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3ccc(=O)oc3c2)c1,YUVUWSUDMVTYOB-UHFFFAOYSA-N,7.95,7.95,0.0,7.95,7.95,0.0,1,1,10.1021/acs.jmedchem.6b00609,2016,2016,16646198,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL1084883,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,ZRCBPVTWLWOJLM-UHFFFAOYSA-N,7.89,7.89,0.0,7.89,7.89,0.0,1,1,10.1016/j.ejmech.2009.12.038,2010,2010,3316262,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL128551,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,MTHAAFJWKDKWDN-UHFFFAOYSA-N,7.85,7.85,0.0,7.85,7.85,0.0,2,2,10.1007/s00044-010-9373-7; 10.1016/j.ejmech.2009.12.038,2010,2011,12427220; 3316261,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3322160,O=C(Cc1cc(=O)oc2cc(O)ccc12)NCCCCNc1c2c(nc3ccccc13)CCCC2,NZAHEPIMJGOXMA-UHFFFAOYSA-N,7.81,7.81,0.0,7.81,7.81,0.0,1,1,10.1021/jm5008648,2014,2014,15013239,False,0
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3417300,Cc1c(C)c2ccc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2oc1=O,QXXGDBDNPIPTRF-UHFFFAOYSA-N,7.79,7.79,0.0,7.79,7.79,0.0,1,1,10.1016/j.ejmech.2015.03.040,2015,2015,15220297,False,0
