target_family,record_count,percent_of_records,unique_targets,percent_of_targets,unique_compounds,percent_of_unique_compounds,unique_compound_target_edges,dominant_endpoint,endpoint_homogeneity,endpoint_types,human_record_count,nonhuman_record_count,human_record_percent_within_family
Carbonic anhydrases,1870,16.149926591242767,16,2.5316455696202533,543,10.074211502782932,1799,Ki,0.9716577540106952,IC50; Ki,1807,63,96.63101604278074
Monoamine oxidases,1618,13.973572847396149,8,1.2658227848101267,945,17.532467532467532,1395,IC50,0.9585908529048207,AC50; EC50; IC50; Ki,1043,575,64.46229913473424
Cholinesterases,1265,10.924950341134814,8,1.2658227848101267,752,13.951762523191094,1188,IC50,0.9446640316205533,IC50; Ki,464,801,36.6798418972332
Kinases,586,5.060886086881424,73,11.550632911392405,320,5.936920222634509,513,IC50,0.841296928327645,AC50; EC50; IC50; Kd; Ki,506,80,86.3481228668942
Nuclear receptors,594,5.129976681924173,23,3.6392405063291138,348,6.456400742115028,461,IC50,0.7609427609427609,AC50; EC50; IC50; Kd; Ki,573,21,96.46464646464646
G protein-coupled receptors,1278,11.037222558079282,63,9.968354430379748,557,10.333951762523192,970,Ki,0.6032863849765259,AC50; EC50; IC50; Kd; Ki,994,284,77.77777777777779
Proteases,543,4.689524138526643,49,7.753164556962025,399,7.402597402597403,484,IC50,0.714548802946593,AC50; EC50; IC50; Ki,338,205,62.246777163904234
Cytochrome P450s,492,4.249071595129113,17,2.689873417721519,198,3.6734693877551026,444,AC50,0.540650406504065,AC50; EC50; IC50; Kd; Ki,490,2,99.59349593495935
Ion channels and transporters,383,3.3077122376716472,46,7.2784810126582276,221,4.100185528756958,300,IC50,0.7180156657963447,AC50; EC50; IC50; Kd; Ki,304,79,79.37336814621409
Other enzymes,2130,18.395370930132135,196,31.0126582278481,1284,23.821892393320965,1737,IC50,0.9206572769953052,AC50; EC50; IC50; Kd; Ki,1312,818,61.5962441314554
Other/unclassified,820,7.081785991881855,133,21.044303797468356,496,9.202226345083488,635,IC50,0.39146341463414636,AC50; EC50; IC50; Kd; Ki,653,167,79.63414634146342
