target_chembl_id,record_count,unique_compounds,target_name,target_organism,uniprot_accession,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL2039,714,661,Amine oxidase [flavin-containing] B,Homo sapiens,Q7Z6S2,IC50; Ki,IC50,0.9888,64,2002,2024,4.03,9.87,5.84
CHEMBL3594,471,448,Carbonic anhydrase 9,Homo sapiens,Q5T4R1,Ki; IC50,Ki,0.9554,41,2005,2024,4.1,8.64,4.54
CHEMBL3242,444,428,Carbonic anhydrase 12,Homo sapiens,Q9BWG2,Ki,Ki,1.0,35,2008,2024,4.31,9.27,4.96
CHEMBL4078,449,427,Acetylcholinesterase,Electrophorus electricus,O42275,IC50; Ki,IC50,0.9621,41,2006,2024,4.01,10.38,6.37
CHEMBL1951,329,313,Amine oxidase [flavin-containing] A,Homo sapiens,Q16426,IC50; Ki; AC50; EC50,IC50,0.9757,45,2002,2024,4.01,8.42,4.41
CHEMBL220,332,289,Acetylcholinesterase,Homo sapiens,Q9BXP7,IC50; Ki,IC50,0.8976,45,2001,2024,4.03,9.63,5.6
CHEMBL5763,289,286,Cholinesterase,Equus caballus,P81908,IC50,IC50,1.0,33,2008,2024,4.04,9.32,5.28
CHEMBL2993,359,233,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,1.0,16,1994,2022,4.0,9.4,5.4
CHEMBL261,235,219,Carbonic anhydrase 1,Homo sapiens,P00915,Ki; IC50,Ki,0.9787,26,2000,2024,4.0,9.0,5.0
CHEMBL205,213,204,Carbonic anhydrase 2,Homo sapiens,P00918,Ki; IC50,Ki,0.8826,28,2000,2024,4.01,10.0,5.99
CHEMBL206,180,133,Estrogen receptor,Homo sapiens,P03372,IC50; EC50,IC50,0.9667,10,2004,2022,4.3,9.72,5.42
CHEMBL3358,160,133,Amine oxidase [flavin-containing] A,Rattus norvegicus,Q63817,IC50,IC50,1.0,13,1994,2020,4.0,8.3,4.3
CHEMBL1914,132,127,Cholinesterase,Homo sapiens,P06276,IC50; Ki,IC50,0.8636,26,2003,2024,4.28,9.57,5.29
CHEMBL2326,108,106,Carbonic anhydrase 7,Homo sapiens,Q86YU0,Ki,Ki,1.0,10,2008,2024,4.11,9.22,5.11
CHEMBL247,115,101,Human immunodeficiency virus type 1 reverse transcriptase,Human immunodeficiency virus 1,Q72547,IC50; EC50,IC50,0.7304,14,1993,2022,4.0,7.42,3.42
CHEMBL3356,101,97,Cytochrome P450 1A2,Homo sapiens,Q9UK49,AC50; IC50; Ki,AC50,0.7921,6,2009,2023,4.4,8.1,3.7
CHEMBL3729,90,90,Carbonic anhydrase 4,Homo sapiens,Q6FHI7,Ki,Ki,1.0,9,2008,2024,4.21,9.36,5.15
CHEMBL253,120,86,Cannabinoid receptor 2,Homo sapiens,Q6NSY0,Ki; EC50; IC50,Ki,0.7417,8,1997,2021,4.88,10.06,5.18
CHEMBL4633,121,81,Potassium voltage-gated channel subfamily A member 3,Homo sapiens,Q6P2D3,EC50; IC50,IC50,0.6364,7,2006,2023,5.22,8.7,3.48
CHEMBL3969,78,77,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens,Q9Y2D0,Ki,Ki,1.0,8,2008,2024,4.46,8.08,3.62
CHEMBL4789,78,77,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens,P35218,Ki,Ki,1.0,9,2005,2024,4.02,8.17,4.15
CHEMBL1978,137,76,Aromatase,Homo sapiens,Q8IYJ7,IC50; Ki,IC50,0.9927,16,2004,2021,4.0,7.54,3.54
CHEMBL340,84,76,Cytochrome P450 3A4,Homo sapiens,P08684,IC50; AC50; Ki,AC50,0.5714,12,2005,2023,4.23,7.19,2.96
CHEMBL208,88,74,Progesterone receptor,Homo sapiens,Q9UPF7,IC50; AC50,IC50,0.9886,5,1999,2023,4.3,7.62,3.32
CHEMBL243,86,74,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,Q72874,IC50; Ki,IC50,0.814,14,1994,2023,4.05,11.0,6.95
