compound_id,UMAP1,UMAP2
CHEMBL3120680,4.4744124,-1.6850455
CHEMBL4160538,-1.5377288,3.9569166
CHEMBL2203962,11.044683,2.4550302
CHEMBL4280947,13.327107,1.6527351
CHEMBL5220116,23.436626,-6.641949
CHEMBL3261206,12.989975,1.8177325
CHEMBL3264001,11.393225,14.253937
CHEMBL3334506,5.1332183,-1.344725
CHEMBL3786111,11.826722,7.73412
CHEMBL5849059,4.2171183,2.7607787
CHEMBL4453974,11.655303,7.9041176
CHEMBL4207698,6.3728065,2.0541122
CHEMBL3586581,1.5332742,3.447429
CHEMBL3818315,8.489682,-7.7625256
CHEMBL4559958,5.811263,0.07070522
CHEMBL3787157,11.810893,7.7496495
CHEMBL3094027,2.903852,1.1522048
CHEMBL5280294,5.682462,8.495351
CHEMBL4646786,5.6282005,3.8389387
CHEMBL4166688,7.61199,14.627406
CHEMBL3360622,4.006296,12.042217
CHEMBL434510,8.136096,1.1212573
CHEMBL4438012,12.828113,1.8666118
CHEMBL4762118,8.838632,-0.22060244
CHEMBL2391484,1.4291002,15.744781
CHEMBL4527319,7.224794,-3.1990464
CHEMBL2346913,7.194675,0.9305759
CHEMBL4469318,4.141394,11.02324
CHEMBL4593416,4.1165733,11.048307
CHEMBL4513423,4.1257977,11.047634
CHEMBL3545711,1.3206301,4.446573
CHEMBL4865520,13.054596,2.903739
CHEMBL3092189,11.230968,14.408171
CHEMBL2376887,12.67467,0.33058852
CHEMBL4202589,11.10857,4.574933
CHEMBL4475016,16.108753,5.0390964
CHEMBL2158365,5.6527257,0.25784314
CHEMBL3586574,1.5278218,3.4415138
CHEMBL4160716,4.8811016,2.5273147
CHEMBL4203878,11.078481,4.4705634
CHEMBL3746173,-6.6319747,8.496525
CHEMBL3746815,-6.6516886,8.515449
CHEMBL3115516,11.814982,7.7440114
CHEMBL3983437,9.250713,-1.4682188
CHEMBL5404997,6.1748195,-1.7707587
CHEMBL1951645,3.8426683,3.2379
CHEMBL5289972,5.5932074,6.709581
CHEMBL4750586,3.6313896,0.77941835
CHEMBL4740913,3.63954,0.7646163
CHEMBL2441684,3.382838,1.8154941
CHEMBL80837,10.984336,14.617631
CHEMBL4635964,2.9161997,-7.024059
CHEMBL5083613,2.5648205,1.6886768
CHEMBL4790359,7.1772456,7.810758
CHEMBL4637131,15.408004,1.8552485
CHEMBL3586602,8.959342,0.47210786
CHEMBL4439320,7.2301874,-3.1969042
CHEMBL3192879,3.183435,2.4864962
CHEMBL4786964,3.5814762,0.803319
CHEMBL142799,2.0716927,4.266319
CHEMBL3586609,2.4763722,1.4923123
CHEMBL5184399,7.62987,14.646305
CHEMBL1915315,11.692252,4.4386106
CHEMBL1377464,4.794232,4.7395983
CHEMBL4061606,6.4461207,8.615175
CHEMBL3586587,8.957448,0.449403
CHEMBL4566022,4.220662,10.913722
CHEMBL4573905,4.3016043,10.806347
CHEMBL2442512,7.2319818,3.7960687
CHEMBL382645,7.0595183,1.7306589
CHEMBL424673,5.2357736,3.0789812
