panel,target_chembl_id,record_count,unique_compounds,target_name,target_organism,uniprot_accession,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range,display_label,degree_bin,compound_count,percent_of_compounds,molecule_chembl_id,chembl_target_degree,pains_alerts,target_ids,target_names,target_organisms,canonical_smiles,pains_flag,endpoint,percent_of_core_records,metric,value,notes
A_top_targets,CHEMBL2039,714.0,661.0,Amine oxidase [flavin-containing] B,Homo sapiens,Q7Z6S2,IC50; Ki,IC50,0.9888,64.0,2002.0,2024.0,4.03,9.87,5.84,"MAO-B
CHEMBL2039",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL3594,471.0,448.0,Carbonic anhydrase 9,Homo sapiens,Q5T4R1,Ki; IC50,Ki,0.9554,41.0,2005.0,2024.0,4.1,8.64,4.54,"CA IX
CHEMBL3594",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL3242,444.0,428.0,Carbonic anhydrase 12,Homo sapiens,Q9BWG2,Ki,Ki,1.0,35.0,2008.0,2024.0,4.31,9.27,4.96,"CA XII
CHEMBL3242",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL4078,449.0,427.0,Acetylcholinesterase,Electrophorus electricus,O42275,IC50; Ki,IC50,0.9621,41.0,2006.0,2024.0,4.01,10.38,6.37,"AChE
CHEMBL4078",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL1951,329.0,313.0,Amine oxidase [flavin-containing] A,Homo sapiens,Q16426,IC50; Ki; AC50; EC50,IC50,0.9757,45.0,2002.0,2024.0,4.01,8.42,4.41,"MAO-A
CHEMBL1951",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL220,332.0,289.0,Acetylcholinesterase,Homo sapiens,Q9BXP7,IC50; Ki,IC50,0.8976,45.0,2001.0,2024.0,4.03,9.63,5.6,"AChE
CHEMBL220",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL5763,289.0,286.0,Cholinesterase,Equus caballus,P81908,IC50,IC50,1.0,33.0,2008.0,2024.0,4.04,9.32,5.28,"Cholinesterase
CHEMBL5763",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL2993,359.0,233.0,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,1.0,16.0,1994.0,2022.0,4.0,9.4,5.4,"MAO-B
CHEMBL2993",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL261,235.0,219.0,Carbonic anhydrase 1,Homo sapiens,P00915,Ki; IC50,Ki,0.9787,26.0,2000.0,2024.0,4.0,9.0,5.0,"CA I
CHEMBL261",,,,,,,,,,,,,,,,
A_top_targets,CHEMBL205,213.0,204.0,Carbonic anhydrase 2,Homo sapiens,P00918,Ki; IC50,Ki,0.8826,28.0,2000.0,2024.0,4.01,10.0,5.99,"CA II
CHEMBL205",,,,,,,,,,,,,,,,
