compound_id,UMAP1,UMAP2,canonical_smiles,dominant_endpoint,chembl_target_degree,single_vs_multi,high_degree_flag,MolWt,cLogP,TPSA,HBD,HBA,RotB,RingCount,AromaticRingCount,HeavyAtomCount,FractionCSP3,LipinskiRo5Violations,LipinskiRo5Compliant
CHEMBL3120680,4.4744124,-1.6850455,Cc1cccc(N2CCN(CCCCOc3ccc4c5c(c(=O)oc4c3)CCC5)CC2)c1C,Ki,3,multi-target,0,446.5910000000004,4.879740000000005,45.92,0,5,7,5,3,33,0.4642857142857143,0,1
CHEMBL4160538,-1.5377288,3.9569166,O=c1oc2ccccc2c2c1c(Cc1ccccc1)nn2Cc1ccccc1,Ki,2,multi-target,0,366.4200000000001,4.781800000000004,48.03,0,4,4,5,5,28,0.0833333333333333,0,1
CHEMBL2203962,11.044683,2.4550302,CCN(CC)c1ccc2cc(C(=O)NC3(C(=O)N(C)N(C)C#N)CCCCC3)c(=O)oc2c1,Ki,3,multi-target,0,453.5430000000004,2.858180000000001,109.89,1,7,7,3,2,33,0.5,0,1
CHEMBL4280947,13.327107,1.6527351,CN(C)CCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1cc2ccccc2oc1=O,IC50,1,single-target,0,473.6170000000003,3.6762000000000015,57.0,0,5,7,5,3,35,0.4482758620689655,0,1
CHEMBL5220116,23.436626,-6.641949,O=C(OCCCCCCN(CCCOC(=O)c1c2ccccc2cc2ccccc12)CCCOc1ccc2ccc(=O)oc2c1)c1c2ccccc2cc2ccccc12,Ki,2,multi-target,0,785.9370000000001,11.141199999999987,95.28,0,8,18,8,8,59,0.2352941176470588,2,0
CHEMBL3261206,12.989975,1.8177325,O=C(NCCCN1CCOCC1)c1cc2cc([N+](=O)[O-])ccc2oc1=O,IC50,1,single-target,0,361.35400000000016,1.1533,114.92000000000002,1,7,6,3,2,26,0.4117647058823529,0,1
CHEMBL3264001,11.393225,14.253937,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4cnccn4)cc3oc2=O)c1F,IC50,2,multi-target,0,471.4700000000002,2.6847200000000004,136.31,2,8,7,4,4,33,0.1428571428571428,0,1
CHEMBL3334506,5.1332183,-1.344725,O=c1oc2cc(OCCCCN3CCC(Cc4ccccc4)CC3)ccc2c2ccccc12,IC50,1,single-target,0,441.57100000000014,6.059900000000006,42.68,0,4,8,5,4,33,0.3448275862068966,1,0
CHEMBL3786111,11.826722,7.73412,O=C(CN1CCC(Cl)CC1)N1N=C(c2cc3ccccc3oc2=O)CC1c1ccccc1,IC50,1,single-target,0,449.93800000000016,4.173900000000004,66.12,0,5,4,5,3,32,0.32,0,1
CHEMBL5849059,4.2171183,2.7607787,COc1ccc2c(CN3C(=O)[C@@H](NC(=O)[C@H](C)N)CN(C(=O)c4ccc(C(C)=O)cc4)c4ccccc43)cc(=O)oc2c1,IC50,1,single-target,0,582.6130000000003,3.0298000000000016,152.25,2,8,7,5,4,43,0.21875,1,0
CHEMBL4453974,11.655303,7.9041176,Cc1ccc(/N=N/c2sc(N3N=C(c4c(O)c5ccccc5oc4=O)CC3c3ccc(N(C)C)cc3)nc2-c2ccccc2)cc1,IC50,1,single-target,0,626.7420000000003,8.767620000000004,106.89,1,10,7,7,6,46,0.1388888888888889,2,0
CHEMBL4207698,6.3728065,2.0541122,Cc1cc(=O)oc2cc(OCc3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)nn3)ccc12,IC50,1,single-target,0,389.364,-0.1165800000000001,140.07,3,10,5,4,3,28,0.3888888888888889,0,1
CHEMBL3586581,1.5332742,3.447429,CCN(CCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1,IC50,4,multi-target,0,393.52700000000016,5.4810400000000055,42.68,0,4,10,3,3,29,0.4,1,0
CHEMBL3818315,8.489682,-7.7625256,CCCCOP(=O)(Nc1ccc(-c2cc3ccc(OS(N)(=O)=O)cc3oc2=O)cc1)OCCCC,IC50,1,single-target,0,524.5320000000004,5.195700000000003,147.16,2,8,13,3,3,35,0.3478260869565217,2,0
CHEMBL4559958,5.811263,0.07070522,O=C(NCCc1ccccc1)Oc1cc(=O)oc2ccccc12,IC50,1,single-target,0,309.321,3.124100000000002,68.53999999999999,1,4,4,3,3,23,0.1111111111111111,0,1
CHEMBL3787157,11.810893,7.7496495,CC(C)CNCC(=O)N1N=C(c2cc3ccccc3oc2=O)CC1c1ccccc1,IC50,1,single-target,0,403.48200000000014,3.716300000000002,74.91,1,5,6,4,3,30,0.2916666666666667,0,1
CHEMBL3094027,2.903852,1.1522048,O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,IC50,1,single-target,0,286.258,3.216700000000001,59.67,1,4,3,3,3,21,0.0625,0,1
CHEMBL5280294,5.682462,8.495351,CN(C)c1ccc(S(=O)(=O)Oc2cccc(-c3nc(N)c4c(=O)oc5ccccc5c4n3)c2)cc1,IC50,1,single-target,0,488.5250000000002,3.8191000000000015,128.62,1,9,5,5,5,35,0.08,0,1
CHEMBL4646786,5.6282005,3.8389387,O=c1cc(-c2ccc(O)c(O)c2)c2ccc(O)c(O)c2o1,IC50,1,single-target,0,286.23900000000003,2.282400000000001,111.13,4,6,1,3,3,21,0.0,0,1
CHEMBL4166688,7.61199,14.627406,CN(C)CCOc1ccc(Oc2c(-c3ccc(O)cc3)c(=O)oc3cc(O)ccc23)cc1,IC50,1,single-target,0,433.46000000000015,4.603900000000005,92.37000000000002,2,7,7,4,4,32,0.16,0,1
CHEMBL3360622,4.006296,12.042217,COc1cccc(NC(=O)Cn2ncc3c(=O)oc4ccccc4c32)c1,IC50,1,single-target,0,349.34600000000006,2.790000000000001,86.36,1,6,4,4,4,26,0.1052631578947368,0,1
CHEMBL434510,8.136096,1.1212573,O=c1ccc2cc(OCc3ccccc3)c(O)cc2o1,IC50,2,multi-target,0,268.26800000000003,3.077600000000001,59.67,1,4,3,3,3,20,0.0625,0,1
CHEMBL4438012,12.828113,1.8666118,O=C(NNC(=O)c1cc2cc(Br)ccc2oc1=O)c1cc(Cl)ccc1O,IC50,1,single-target,0,437.63300000000015,2.9893000000000005,108.64,3,5,2,3,3,26,0.0,0,1
CHEMBL4762118,8.838632,-0.22060244,O=C(/C=C/c1cccc(C(F)(F)F)c1)Nc1ccc2oc(=O)ccc2c1,Ki,2,multi-target,0,359.3030000000001,4.463700000000003,59.31,1,3,3,3,3,26,0.0526315789473684,0,1
CHEMBL2391484,1.4291002,15.744781,O=C(CN1CCN(CCCCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2,IC50,2,multi-target,0,554.6910000000001,5.025400000000004,87.91,1,7,10,6,4,41,0.4242424242424242,2,0
CHEMBL4527319,7.224794,-3.1990464,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(S(C)(=O)=O)cc4)C3)cc2oc1=O,IC50,3,multi-target,0,455.5760000000002,4.104340000000003,76.82,0,6,6,4,3,32,0.4,0,1
CHEMBL2346913,7.194675,0.9305759,COc1cc2ccc(=O)oc2cc1OC/C=C(\C)CCC=C(C)C,EC50,1,single-target,0,328.40800000000013,4.873100000000004,48.67,0,4,7,2,2,24,0.35,0,1
CHEMBL4469318,4.141394,11.02324,O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4cccc([N+](=O)[O-])c4)CC3)cc12,IC50,2,multi-target,0,469.4790000000002,2.0149,131.79000000000002,0,9,5,5,4,33,0.238095238095238,0,1
CHEMBL4593416,4.1165733,11.048307,O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccccc4[N+](=O)[O-])CC3)cc12,IC50,4,multi-target,0,469.4790000000002,2.0149,131.79000000000002,0,9,5,5,4,33,0.238095238095238,0,1
