target_family,organism_group,target_organism,record_count,unique_targets,unique_compounds,family_record_count,percent_of_family_records
Carbonic anhydrases,Human,Homo sapiens,1807,12,541,1870,96.63101604278074
Carbonic anhydrases,Non-human,Mus musculus,41,2,21,1870,2.192513368983957
Carbonic anhydrases,Non-human,Bos taurus,22,2,22,1870,1.1764705882352942
Cholinesterases,Human,Homo sapiens,464,2,300,1265,36.6798418972332
Cholinesterases,Non-human,Electrophorus electricus,449,1,427,1265,35.49407114624506
Cholinesterases,Non-human,Equus caballus,289,1,286,1265,22.845849802371543
Cholinesterases,Non-human,Bos taurus,29,1,28,1265,2.292490118577075
Cholinesterases,Non-human,Mus musculus,25,1,24,1265,1.9762845849802373
Cholinesterases,Non-human,Rattus norvegicus,9,2,5,1265,0.7114624505928854
Cytochrome P450s,Human,Homo sapiens,490,15,198,492,99.59349593495936
Cytochrome P450s,Non-human,Oryctolagus cuniculus,1,1,1,492,0.2032520325203252
Cytochrome P450s,Non-human,Rattus norvegicus,1,1,1,492,0.2032520325203252
G protein-coupled receptors,Human,Homo sapiens,994,46,466,1278,77.77777777777779
G protein-coupled receptors,Non-human,Rattus norvegicus,263,13,113,1278,20.579029733959317
G protein-coupled receptors,Non-human,Cavia porcellus,17,2,17,1278,1.330203442879499
G protein-coupled receptors,Non-human,Mus musculus,4,2,4,1278,0.3129890453834116
Ion channels and transporters,Human,Homo sapiens,304,37,176,383,79.37336814621409
Ion channels and transporters,Non-human,Mus musculus,54,3,33,383,14.099216710182768
Ion channels and transporters,Non-human,Rattus norvegicus,24,5,17,383,6.266318537859007
Ion channels and transporters,Non-human,Leishmania mexicana,1,1,1,383,0.2610966057441253
Kinases,Human,Homo sapiens,506,65,259,586,86.3481228668942
Kinases,Non-human,Rattus norvegicus,38,4,36,586,6.484641638225256
Kinases,Non-human,Streptococcus pyogenes serotype M1,37,1,27,586,6.313993174061433
Kinases,Non-human,Toxoplasma gondii,3,1,1,586,0.5119453924914675
Kinases,Non-human,Mus musculus,2,2,2,586,0.3412969283276451
Monoamine oxidases,Human,Homo sapiens,1043,2,713,1618,64.46229913473424
