target_family,readiness_tier,target_count,family_target_count,percent_of_family_targets
Carbonic anhydrases,Ready,5,16,31.25
Carbonic anhydrases,Curatable,3,16,18.75
Carbonic anhydrases,Exploratory,5,16,31.25
Carbonic anhydrases,Not Suitable,3,16,18.75
Cholinesterases,Ready,4,8,50.0
Cholinesterases,Exploratory,2,8,25.0
Cholinesterases,Not Suitable,2,8,25.0
Cytochrome P450s,Curatable,3,17,17.647058823529413
Cytochrome P450s,Exploratory,5,17,29.411764705882355
Cytochrome P450s,Not Suitable,9,17,52.94117647058824
G protein-coupled receptors,Curatable,7,63,11.11111111111111
G protein-coupled receptors,Exploratory,9,63,14.285714285714285
G protein-coupled receptors,Not Suitable,47,63,74.60317460317461
Ion channels and transporters,Curatable,1,46,2.1739130434782608
Ion channels and transporters,Exploratory,4,46,8.695652173913043
Ion channels and transporters,Not Suitable,41,46,89.13043478260869
Kinases,Curatable,2,73,2.73972602739726
Kinases,Exploratory,8,73,10.95890410958904
Kinases,Not Suitable,63,73,86.3013698630137
Monoamine oxidases,Ready,4,8,50.0
Monoamine oxidases,Exploratory,1,8,12.5
Monoamine oxidases,Not Suitable,3,8,37.5
Nuclear receptors,Ready,1,23,4.3478260869565215
Nuclear receptors,Curatable,2,23,8.695652173913043
Nuclear receptors,Exploratory,2,23,8.695652173913043
Nuclear receptors,Not Suitable,18,23,78.26086956521739
Other enzymes,Curatable,6,196,3.061224489795918
Other enzymes,Exploratory,25,196,12.755102040816327
Other enzymes,Not Suitable,165,196,84.18367346938776
Other/unclassified,Exploratory,6,133,4.511278195488721
Other/unclassified,Not Suitable,127,133,95.48872180451129
Proteases,Curatable,2,49,4.081632653061225
Proteases,Exploratory,4,49,8.16326530612245
Proteases,Not Suitable,43,49,87.75510204081633
