target_chembl_id,target_name,target_organism,record_count,unique_compounds,endpoint_types,dominant_endpoint,dominant_endpoint_record_count,dominant_endpoint_unique_compounds,endpoint_homogeneity,doi_count,dominant_endpoint_doi_count,year_min,year_max,pactivity_min,pactivity_max,pactivity_range,dominant_endpoint_pactivity_min,dominant_endpoint_pactivity_max,dominant_endpoint_pactivity_range,readiness_tier,ready_compound_count_pass,ready_endpoint_homogeneity_pass,ready_activity_range_pass,ready_doi_diversity_pass,curatable_compound_count_pass,curatable_endpoint_homogeneity_pass,curatable_activity_range_pass,curatable_doi_diversity_pass,target_family,organism_group,uniprot_accession,ready_criteria_pass_count,curatable_criteria_pass_count
CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,714,661,IC50; Ki,IC50,706,659,0.988795518207283,64,63,2002.0,2024.0,4.03,9.87,5.839999999999999,4.03,9.87,5.839999999999999,Ready,1,1,1,1,1,1,1,1,Monoamine oxidases,Human,Q7Z6S2,4,4
CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,471,448,IC50; Ki,Ki,450,427,0.9554140127388536,41,39,2005.0,2024.0,4.1,8.64,4.540000000000001,4.1,8.64,4.540000000000001,Ready,1,1,1,1,1,1,1,1,Carbonic anhydrases,Human,Q5T4R1,4,4
CHEMBL3242,Carbonic anhydrase 12,Homo sapiens,444,428,Ki,Ki,444,428,1.0,35,35,2008.0,2024.0,4.31,9.27,4.96,4.31,9.27,4.96,Ready,1,1,1,1,1,1,1,1,Carbonic anhydrases,Human,Q9BWG2,4,4
CHEMBL4078,Acetylcholinesterase,Electrophorus electricus,449,427,IC50; Ki,IC50,432,427,0.9621380846325168,41,41,2006.0,2024.0,4.01,10.38,6.370000000000001,4.01,9.96,5.950000000000001,Ready,1,1,1,1,1,1,1,1,Cholinesterases,Non-human,O42275,4,4
CHEMBL1951,Amine oxidase [flavin-containing] A,Homo sapiens,329,313,AC50; EC50; IC50; Ki,IC50,321,310,0.9756838905775076,45,42,2002.0,2024.0,4.01,8.42,4.41,4.01,8.42,4.41,Ready,1,1,1,1,1,1,1,1,Monoamine oxidases,Human,Q16426,4,4
CHEMBL220,Acetylcholinesterase,Homo sapiens,332,289,IC50; Ki,IC50,298,271,0.8975903614457831,45,43,2001.0,2024.0,4.03,9.63,5.6000000000000005,4.16,9.63,5.470000000000001,Ready,1,1,1,1,1,1,1,1,Cholinesterases,Human,Q9BXP7,4,4
CHEMBL5763,Cholinesterase,Equus caballus,289,286,IC50,IC50,289,286,1.0,33,33,2008.0,2024.0,4.04,9.32,5.28,4.04,9.32,5.28,Ready,1,1,1,1,1,1,1,1,Cholinesterases,Non-human,P81908,4,4
CHEMBL2993,Amine oxidase [flavin-containing] B,Rattus norvegicus,359,233,IC50,IC50,359,233,1.0,16,16,1994.0,2022.0,4.0,9.4,5.4,4.0,9.4,5.4,Ready,1,1,1,1,1,1,1,1,Monoamine oxidases,Non-human,Q5EBB5,4,4
CHEMBL261,Carbonic anhydrase 1,Homo sapiens,235,219,IC50; Ki,Ki,230,214,0.9787234042553192,26,24,2000.0,2024.0,4.0,9.0,5.0,4.02,9.0,4.98,Ready,1,1,1,1,1,1,1,1,Carbonic anhydrases,Human,P00915,4,4
CHEMBL205,Carbonic anhydrase 2,Homo sapiens,213,204,IC50; Ki,Ki,188,180,0.8826291079812206,28,24,2000.0,2024.0,4.01,10.0,5.99,4.01,10.0,5.99,Ready,1,1,1,1,1,1,1,1,Carbonic anhydrases,Human,P00918,4,4
CHEMBL3358,Amine oxidase [flavin-containing] A,Rattus norvegicus,160,133,IC50,IC50,160,133,1.0,13,13,1994.0,2020.0,4.0,8.3,4.300000000000001,4.0,8.3,4.300000000000001,Ready,1,1,1,1,1,1,1,1,Monoamine oxidases,Non-human,Q63817,4,4
CHEMBL206,Estrogen receptor,Homo sapiens,180,133,EC50; IC50,IC50,174,127,0.9666666666666668,10,8,2004.0,2022.0,4.3,9.72,5.420000000000001,4.3,9.72,5.420000000000001,Ready,1,1,1,1,1,1,1,1,Nuclear receptors,Human,P03372,4,4
CHEMBL1914,Cholinesterase,Homo sapiens,132,127,IC50; Ki,IC50,114,109,0.8636363636363636,26,25,2003.0,2024.0,4.28,9.57,5.29,4.28,9.57,5.29,Ready,1,1,1,1,1,1,1,1,Cholinesterases,Human,P06276,4,4
CHEMBL2326,Carbonic anhydrase 7,Homo sapiens,108,106,Ki,Ki,108,106,1.0,10,10,2008.0,2024.0,4.11,9.22,5.11,4.11,9.22,5.11,Ready,1,1,1,1,1,1,1,1,Carbonic anhydrases,Human,Q86YU0,4,4
CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Human immunodeficiency virus 1,115,101,EC50; IC50,IC50,84,74,0.7304347826086957,14,11,1993.0,2022.0,4.0,7.42,3.42,4.0,7.42,3.42,Curatable,1,0,1,1,1,1,1,1,Other enzymes,Non-human,Q72547,3,4
CHEMBL3356,Cytochrome P450 1A2,Homo sapiens,101,97,AC50; IC50; Ki,AC50,80,80,0.7920792079207921,6,0,2009.0,2023.0,4.4,8.1,3.6999999999999993,4.4,8.1,3.6999999999999993,Curatable,0,0,1,1,1,1,1,1,Cytochrome P450s,Human,Q9UK49,2,4
CHEMBL3729,Carbonic anhydrase 4,Homo sapiens,90,90,Ki,Ki,90,90,1.0,9,9,2008.0,2024.0,4.21,9.36,5.15,4.21,9.36,5.15,Curatable,0,1,1,1,1,1,1,1,Carbonic anhydrases,Human,Q6FHI7,3,4
CHEMBL253,Cannabinoid receptor 2,Homo sapiens,120,86,EC50; IC50; Ki,Ki,89,68,0.7416666666666667,8,8,1997.0,2021.0,4.88,10.06,5.180000000000001,4.88,10.06,5.180000000000001,Curatable,0,0,1,1,1,1,1,1,G protein-coupled receptors,Human,Q6NSY0,2,4
CHEMBL4633,Potassium voltage-gated channel subfamily A member 3,Homo sapiens,121,81,EC50; IC50,IC50,77,38,0.6363636363636364,7,7,2006.0,2023.0,5.22,8.7,3.4799999999999995,5.22,8.7,3.4799999999999995,Curatable,0,0,1,1,1,1,1,1,Ion channels and transporters,Human,Q6P2D3,2,4
CHEMBL4789,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens,78,77,Ki,Ki,78,77,1.0,9,9,2005.0,2024.0,4.02,8.17,4.15,4.02,8.17,4.15,Curatable,0,1,1,1,1,1,1,1,Carbonic anhydrases,Human,P35218,3,4
CHEMBL3969,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens,78,77,Ki,Ki,78,77,1.0,8,8,2008.0,2024.0,4.46,8.08,3.62,4.46,8.08,3.62,Curatable,0,1,1,1,1,1,1,1,Carbonic anhydrases,Human,Q9Y2D0,3,4
CHEMBL1978,Aromatase,Homo sapiens,137,76,IC50; Ki,IC50,136,76,0.9927007299270072,16,15,2004.0,2021.0,4.0,7.54,3.54,4.0,7.54,3.54,Curatable,0,1,1,1,1,1,1,1,Other enzymes,Human,Q8IYJ7,3,4
CHEMBL208,Progesterone receptor,Homo sapiens,88,74,AC50; IC50,IC50,87,73,0.9886363636363636,5,4,1999.0,2023.0,4.3,7.62,3.3200000000000003,4.3,7.62,3.3200000000000003,Curatable,0,1,1,1,1,1,1,1,Nuclear receptors,Human,Q9UPF7,3,4
CHEMBL214,5-hydroxytryptamine receptor 1A,Homo sapiens,82,74,IC50; Ki,Ki,74,74,0.902439024390244,7,7,2010.0,2021.0,5.46,9.52,4.06,5.46,9.52,4.06,Curatable,0,1,1,1,1,1,1,1,G protein-coupled receptors,Human,Q6LAE7,3,4
CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,86,74,IC50; Ki,IC50,70,65,0.813953488372093,14,8,1994.0,2023.0,4.05,11.0,6.95,4.05,11.0,6.95,Curatable,0,1,1,1,1,1,1,1,Proteases,Non-human,Q72874,3,4
CHEMBL242,Estrogen receptor beta,Homo sapiens,82,72,EC50; IC50,IC50,74,65,0.902439024390244,6,4,2004.0,2022.0,4.75,8.94,4.19,4.75,8.94,4.19,Curatable,0,1,1,1,1,1,1,1,Nuclear receptors,Human,Q9UQK9,3,4
CHEMBL3622,Cytochrome P450 2C19,Homo sapiens,72,70,AC50; IC50,AC50,64,64,0.8888888888888888,6,0,2009.0,2023.0,4.21,7.2,2.99,4.4,7.2,2.8,Curatable,0,1,1,1,1,1,1,1,Cytochrome P450s,Human,Q9UCD4,3,4
