descriptor,n,mean,sd,median,q1,q3,iqr,min,max,single_n,multi_n,single_median,multi_median,median_difference_multi_minus_single,cliffs_delta_multi_vs_single,p_value,p_adjusted_bh,significant_bh_0_05
MolWt,5390,392.06615398886834,108.22453613708178,380.94750000000005,314.84675000000004,449.5000000000002,134.65325000000018,161.16,1021.2990000000003,3021,2369,374.4770000000001,388.4010000000001,13.924000000000035,0.05944933935785657,0.00017562862907686996,0.0005268858872306099,True
cLogP,5390,3.8373545714285737,1.4133462892902457,3.790200000000002,2.9714,4.699015000000004,1.7276150000000037,-2.8956799999999987,12.195199999999987,3021,2369,3.7728800000000033,3.8190000000000017,0.046119999999998385,0.009484334297597874,0.5494878180427125,0.6161735190007674,False
TPSA,5390,82.31503710575139,35.08761475576457,75.88,57.42,99.77,42.349999999999994,30.21,421.12999999999994,3021,2369,76.74,72.22,-4.519999999999996,-0.01912586287433027,0.22741554706614875,0.320875199484089,False
HBD,5390,1.0161410018552877,1.1216253261271323,1.0,0.0,2.0,2.0,0.0,13.0,3021,2369,1.0,1.0,0.0,-0.09029462958670198,1.644053291486983e-09,9.864319748921897e-09,True
HBA,5390,5.531725417439703,2.0843270325518564,5.0,4.0,6.0,2.0,2.0,22.0,3021,2369,5.0,5.0,0.0,0.01828889066809536,0.24065639961306673,0.320875199484089,False
RotB,5390,5.01873840445269,3.290790452746513,5.0,3.0,7.0,4.0,0.0,28.0,3021,2369,4.0,5.0,1.0,0.13028387610072678,1.3396573969568353e-16,1.6075888763482023e-15,True
RingCount,5390,3.726530612244898,1.0683546818318597,4.0,3.0,4.0,1.0,2.0,9.0,3021,2369,4.0,4.0,0.0,0.022512456423999128,0.13607447949170084,0.2721489589834017,False
AromaticRingCount,5390,3.3003710575139147,0.922965206436639,3.0,3.0,4.0,1.0,2.0,9.0,3021,2369,3.0,3.0,0.0,0.04438411910212303,0.002827941549938831,0.006787059719853194,True
HeavyAtomCount,5390,28.039146567717996,7.66869100222136,27.0,23.0,32.0,9.0,12.0,73.0,3021,2369,27.0,28.0,1.0,0.06116422414702538,0.0001117057639063438,0.0004468230556253752,True
FractionCSP3,5390,0.21822369425598742,0.14557818900247477,0.2,0.1,0.3225806451612903,0.2225806451612903,0.0,0.7719298245614035,3021,2369,0.2,0.2,0.0,0.022318932800353908,0.15884815185197965,0.27231111746053654,False
LipinskiRo5Violations,5390,0.3575139146567718,0.6728947067771335,0.0,0.0,1.0,1.0,0.0,4.0,3021,2369,0.0,0.0,0.0,-0.000838090032219907,0.9450710113781126,0.9450710113781126,False
LipinskiRo5Compliant,5390,0.7398886827458256,0.43873583414155953,1.0,0.0,1.0,1.0,0.0,1.0,3021,2369,1.0,1.0,0.0,0.006931638932705431,0.5648257257507034,0.6161735190007674,False
