molecule_chembl_id,chembl_target_degree,record_count,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range,dominant_endpoint,endpoint_types,pains_alerts,target_ids,target_names,target_organisms,canonical_smiles
CHEMBL6246,71,85,32,1994,2024,4.0,7.7,3.7,IC50,Ki; IC50; EC50; Kd,catechol_A(92),CHEMBL3629; CHEMBL1075126; CHEMBL4680034; CHEMBL5542; CHEMBL5391; CHEMBL1293267; CHEMBL1293258; CHEMBL2622; CHEMBL1900; CHEMBL1957; CHEMBL4128; CHEMBL1641347; ...(+59 more),Casein kinase II subunit alpha; Pyruvate kinase PKLR; 5'-nucleotidase; DNA polymerase eta; DNA polymerase iota; G-protein coupled receptor 35; Mothers against decapentaplegic homolog 3; Aldo-keto reductase family 1 member B1; Insulin-like growth factor 1 receptor; Angiopoietin-1 receptor; Solute carrier family 22 member 6; Proto-oncogene tyrosine-protein kinase Src; ...(+56 more),Homo sapiens; Mus musculus; Rattus norvegicus; Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast); Human immunodeficiency virus 1; Trypanosoma cruzi; Plasmodium falciparum,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
CHEMBL145781,16,19,6,2000,2024,4.03,8.77,4.74,Ki,IC50; Ki,none,CHEMBL2039; CHEMBL2993; CHEMBL1945; CHEMBL1951; CHEMBL3594; CHEMBL5973; CHEMBL3510; CHEMBL3729; CHEMBL3242; CHEMBL3358; CHEMBL2186; CHEMBL2885; ...(+4 more),Amine oxidase [flavin-containing] B; Melatonin receptor type 1A; Amine oxidase [flavin-containing] A; Carbonic anhydrase 9; Carbonic anhydrase 15; Carbonic anhydrase 14; Carbonic anhydrase 4; Carbonic anhydrase 12; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 7; Carbonic anhydrase 1; ...(+2 more),Homo sapiens; Rattus norvegicus; Mus musculus,O=c1ccc2ccc(OCc3ccccc3)cc2o1
CHEMBL572366,15,31,4,2010,2013,4.02,7.31,3.29,Ki,Ki,none,CHEMBL1293200; CHEMBL205; CHEMBL261; CHEMBL2326; CHEMBL5973; CHEMBL3729; CHEMBL2885; CHEMBL3025; CHEMBL3510; CHEMBL3912; CHEMBL3969; CHEMBL3242; ...(+3 more),"Zn finger protein; Carbonic anhydrase 2; Carbonic anhydrase 1; Carbonic anhydrase 7; Carbonic anhydrase 15; Carbonic anhydrase 4; Carbonic anhydrase 3; Carbonic anhydrase 6; Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 12; ...(+2 more)",Nicotiana tabacum; Homo sapiens; Mus musculus,COc1cc2oc(=O)ccc2cc1[C@@H](O)CC(C)C
CHEMBL1466,15,27,16,2000,2023,4.22,9.0,4.78,IC50,Ki; IC50; AC50; EC50,none,CHEMBL3091269; CHEMBL3623; CHEMBL3397; CHEMBL1293267; CHEMBL2232; CHEMBL2622; CHEMBL4040; CHEMBL340; CHEMBL288; CHEMBL3622; CHEMBL3356; CHEMBL4161; ...(+3 more),"NAD(P)H dehydrogenase [quinone] 1; Cytochrome P450 2C9; G-protein coupled receptor 35; Proprotein convertase subtilisin/kexin type 7; Aldo-keto reductase family 1 member B1; Mitogen-activated protein kinase 1; Cytochrome P450 3A4; 3',5'-cyclic-AMP phosphodiesterase 4D; Cytochrome P450 2C19; Cytochrome P450 1A2; Urease; Bile salt export pump; ...(+2 more)",Rattus norvegicus; Homo sapiens; Canavalia ensiformis; Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4); Mycobacterium tuberculosis,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
CHEMBL2387229,15,19,2,2013,2021,5.59,9.52,3.93,Ki,Ki; IC50,none,CHEMBL322; CHEMBL224; CHEMBL339; CHEMBL217; CHEMBL273; CHEMBL214; CHEMBL234; CHEMBL3138; CHEMBL3371; CHEMBL3943; CHEMBL231; CHEMBL240; ...(+3 more),5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; 5-hydroxytryptamine receptor 1A; D(3) dopamine receptor; 5-hydroxytryptamine receptor 6; Histamine H1 receptor; Voltage-gated inwardly rectifying potassium channel KCNH2; 5-hydroxytryptamine receptor 2C; Alpha-1A adrenergic receptor,Rattus norvegicus; Homo sapiens; Cavia porcellus,Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12
CHEMBL286738,14,39,23,2001,2024,5.46,8.97,3.51,IC50,IC50; Ki,none,CHEMBL3559; CHEMBL3242; CHEMBL205; CHEMBL2326; CHEMBL3729; CHEMBL3594; CHEMBL1978; CHEMBL3025; CHEMBL3969; CHEMBL3510; CHEMBL4789; CHEMBL1865; ...(+2 more),"Steryl-sulfatase; Carbonic anhydrase 12; Carbonic anhydrase 2; Carbonic anhydrase 7; Carbonic anhydrase 4; Carbonic anhydrase 9; Aromatase; Carbonic anhydrase 6; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 14; Carbonic anhydrase 5A, mitochondrial; Histone deacetylase 6; ...(+2 more)",Homo sapiens; Mus musculus,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3
CHEMBL83294,14,15,3,2010,2017,4.0,7.76,3.76,Ki,IC50; Ki; EC50,none,CHEMBL2039; CHEMBL3242; CHEMBL4789; CHEMBL2326; CHEMBL3594; CHEMBL2885; CHEMBL3510; CHEMBL5973; CHEMBL261; CHEMBL3729; CHEMBL2186; CHEMBL3969; ...(+2 more),"Amine oxidase [flavin-containing] B; Carbonic anhydrase 12; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 9; Carbonic anhydrase 3; Carbonic anhydrase 14; Carbonic anhydrase 15; Carbonic anhydrase 1; Carbonic anhydrase 4; Carbonic anhydrase 13; Carbonic anhydrase 5B, mitochondrial; ...(+2 more)",Homo sapiens; Mus musculus,O=C(O)c1cc2ccccc2oc1=O
CHEMBL12567,13,13,2,1986,2010,4.3,7.35,3.05,Ki,Ki; IC50,none,CHEMBL2186; CHEMBL4789; CHEMBL261; CHEMBL3594; CHEMBL3242; CHEMBL2885; CHEMBL3510; CHEMBL5973; CHEMBL2622; CHEMBL3729; CHEMBL3969; CHEMBL2326; ...(+1 more),"Carbonic anhydrase 13; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 3; Carbonic anhydrase 14; Carbonic anhydrase 15; Aldo-keto reductase family 1 member B1; Carbonic anhydrase 4; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 7; ...(+1 more)",Mus musculus; Homo sapiens; Rattus norvegicus,COc1ccc2c(C(=O)O)cc(=O)oc2c1
CHEMBL567139,13,13,1,2010,2010,4.19,7.34,3.15,Ki,Ki,none,CHEMBL3510; CHEMBL261; CHEMBL3025; CHEMBL3242; CHEMBL3969; CHEMBL2186; CHEMBL5973; CHEMBL3594; CHEMBL4789; CHEMBL2326; CHEMBL3729; CHEMBL205; ...(+1 more),"Carbonic anhydrase 14; Carbonic anhydrase 1; Carbonic anhydrase 6; Carbonic anhydrase 12; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 13; Carbonic anhydrase 15; Carbonic anhydrase 9; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 4; Carbonic anhydrase 2; ...(+1 more)",Homo sapiens; Mus musculus,NCc1ccc2oc(=O)ccc2c1
CHEMBL568348,13,13,1,2010,2010,4.21,7.32,3.11,Ki,Ki,none,CHEMBL3510; CHEMBL261; CHEMBL4789; CHEMBL3594; CHEMBL3242; CHEMBL5973; CHEMBL2186; CHEMBL2885; CHEMBL3969; CHEMBL3729; CHEMBL2326; CHEMBL3025; ...(+1 more),"Carbonic anhydrase 14; Carbonic anhydrase 1; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 7; Carbonic anhydrase 6; ...(+1 more)",Homo sapiens; Mus musculus,COc1cccc2cc(C(=O)O)c(=O)oc12
