descriptor,n,mean,sd,median,q1,q3,iqr,min,max
MolWt,5390,392.06615398886834,108.22453613708178,380.94750000000005,314.84675000000004,449.5000000000002,134.65325000000018,161.16,1021.2990000000003
cLogP,5390,3.8373545714285737,1.4133462892902457,3.790200000000002,2.9714,4.699015000000004,1.7276150000000037,-2.8956799999999987,12.195199999999987
TPSA,5390,82.31503710575139,35.08761475576457,75.88,57.42,99.77,42.349999999999994,30.21,421.12999999999994
HBD,5390,1.0161410018552877,1.1216253261271323,1.0,0.0,2.0,2.0,0.0,13.0
HBA,5390,5.531725417439703,2.0843270325518564,5.0,4.0,6.0,2.0,2.0,22.0
RotB,5390,5.01873840445269,3.290790452746513,5.0,3.0,7.0,4.0,0.0,28.0
RingCount,5390,3.726530612244898,1.0683546818318597,4.0,3.0,4.0,1.0,2.0,9.0
AromaticRingCount,5390,3.3003710575139147,0.922965206436639,3.0,3.0,4.0,1.0,2.0,9.0
HeavyAtomCount,5390,28.039146567717996,7.66869100222136,27.0,23.0,32.0,9.0,12.0,73.0
FractionCSP3,5390,0.21822369425598742,0.14557818900247477,0.2,0.1,0.3225806451612903,0.2225806451612903,0.0,0.7719298245614035
LipinskiRo5Violations,5390,0.3575139146567718,0.6728947067771335,0.0,0.0,1.0,1.0,0.0,4.0
LipinskiRo5Compliant,5390,0.7398886827458256,0.43873583414155953,1.0,0.0,1.0,1.0,0.0,1.0
