target_chembl_id,target_pref_name,target_organism,uniprot_accession,has_uniprot
CHEMBL322,5-hydroxytryptamine receptor 2A,Rattus norvegicus,P14842,True
CHEMBL273,5-hydroxytryptamine receptor 1A,Rattus norvegicus,P19327,True
CHEMBL339,D(2) dopamine receptor,Rattus norvegicus,P61169,True
CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Q5T4R1,True
CHEMBL3242,Carbonic anhydrase 12,Homo sapiens,Q9BWG2,True
CHEMBL268,Cathepsin K,Homo sapiens,Q6FHS6,True
CHEMBL4072,Cathepsin B,Homo sapiens,Q96D87,True
CHEMBL2954,Cathepsin S,Homo sapiens,Q9BUG3,True
CHEMBL1914,Cholinesterase,Homo sapiens,P06276,True
CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,Q7Z6S2,True
CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase,Homo sapiens,P04049,True
CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,Q02750,True
CHEMBL220,Acetylcholinesterase,Homo sapiens,Q9BXP7,True
CHEMBL2916,Telomerase reverse transcriptase,Homo sapiens,Q8NG46,True
CHEMBL4198,E3 ubiquitin-protein ligase XIAP,Homo sapiens,Q9NQ14,True
CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,P35968,True
CHEMBL1826,DNA gyrase subunit B,Escherichia coli,Q2M811,True
CHEMBL4078,Acetylcholinesterase,Electrophorus electricus,O42275,True
CHEMBL5763,Cholinesterase,Equus caballus,P81908,True
CHEMBL2993,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,True
CHEMBL3358,Amine oxidase [flavin-containing] A,Rattus norvegicus,Q63817,True
CHEMBL3559,Steryl-sulfatase,Homo sapiens,P08842,True
CHEMBL3198,Acetylcholinesterase,Mus musculus,P21836,True
CHEMBL206,Estrogen receptor,Homo sapiens,P03372,True
CHEMBL6145,Inosine-5'-monophosphate dehydrogenase,Cryptosporidium parvum,Q8T6T2,True
CHEMBL3471,Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,Q7ZJM1,True
CHEMBL1951,Amine oxidase [flavin-containing] A,Homo sapiens,Q16426,True
CHEMBL235,Peroxisome proliferator-activated receptor gamma,Homo sapiens,P37231,True
CHEMBL4005,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Homo sapiens,P42336,True
CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Homo sapiens,P48736,True
CHEMBL3130,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Homo sapiens,Q5SR49,True
CHEMBL2842,Serine/threonine-protein kinase mTOR,Homo sapiens,Q9Y4I3,True
CHEMBL3145,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Homo sapiens,Q24JU2,True
CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Human immunodeficiency virus 1,Q72547,True
CHEMBL340,Cytochrome P450 3A4,Homo sapiens,P08684,True
CHEMBL3397,Cytochrome P450 2C9,Homo sapiens,Q8WW80,True
CHEMBL2949,Prostaglandin G/H synthase 1,Ovis aries,P05979,True
CHEMBL230,Prostaglandin G/H synthase 2,Homo sapiens,Q16876,True
CHEMBL208,Progesterone receptor,Homo sapiens,Q9UPF7,True
CHEMBL262,Glycogen synthase kinase-3 beta,Homo sapiens,P49841,True
CHEMBL2828,Casein kinase I isoform delta,Homo sapiens,Q9BTN5,True
CHEMBL2326,Carbonic anhydrase 7,Homo sapiens,Q86YU0,True
CHEMBL4789,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens,P35218,True
CHEMBL3969,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens,Q9Y2D0,True
CHEMBL4680039,Myosin-2,Bos taurus,Q9BE41,True
CHEMBL2635,Dual specificity protein phosphatase 3,Homo sapiens,Q8IYJ9,True
CHEMBL5511,Dual specificity protein phosphatase 6,Rattus norvegicus,Q64346,True
CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens,Q9NZM8,True
CHEMBL242,Estrogen receptor beta,Homo sapiens,Q9UQK9,True
CHEMBL5422,Protein disulfide-isomerase,Homo sapiens,Q6LDE5,True
CHEMBL4105870,Vitamin K epoxide reductase complex subunit 1,Rattus norvegicus,Q6TEK4,True
CHEMBL2073663,Monocarboxylate transporter 4,Homo sapiens,Q2M1P8,True
CHEMBL5145,Serine/threonine-protein kinase B-raf,Homo sapiens,P15056,True
CHEMBL1978,Aromatase,Homo sapiens,Q8IYJ7,True
CHEMBL288,"3',5'-cyclic-AMP phosphodiesterase 4D",Homo sapiens,Q08499,True
