target_chembl_id,target_name,target_organism,organism_group,uniprot_accession,target_family,record_count,unique_compounds,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Human,Q5T4R1,Carbonic anhydrases,471,448,IC50; Ki,Ki,0.9554140127388535,41,2005,2024,4.1,8.64,4.540000000000001
CHEMBL3242,Carbonic anhydrase 12,Homo sapiens,Human,Q9BWG2,Carbonic anhydrases,444,428,Ki,Ki,1.0,35,2008,2024,4.31,9.27,4.96
CHEMBL261,Carbonic anhydrase 1,Homo sapiens,Human,P00915,Carbonic anhydrases,235,219,IC50; Ki,Ki,0.9787234042553191,26,2000,2024,4.0,9.0,5.0
CHEMBL205,Carbonic anhydrase 2,Homo sapiens,Human,P00918,Carbonic anhydrases,213,204,IC50; Ki,Ki,0.8826291079812206,28,2000,2024,4.01,10.0,5.99
CHEMBL2326,Carbonic anhydrase 7,Homo sapiens,Human,Q86YU0,Carbonic anhydrases,108,106,Ki,Ki,1.0,10,2008,2024,4.11,9.22,5.11
CHEMBL3729,Carbonic anhydrase 4,Homo sapiens,Human,Q6FHI7,Carbonic anhydrases,90,90,Ki,Ki,1.0,9,2008,2024,4.21,9.36,5.1499999999999995
CHEMBL3969,"Carbonic anhydrase 5B, mitochondrial",Homo sapiens,Human,Q9Y2D0,Carbonic anhydrases,78,77,Ki,Ki,1.0,8,2008,2024,4.46,8.08,3.62
CHEMBL4789,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens,Human,P35218,Carbonic anhydrases,78,77,Ki,Ki,1.0,9,2005,2024,4.02,8.17,4.15
CHEMBL3912,Carbonic anhydrase 13,Homo sapiens,Human,Q8N1Q1,Carbonic anhydrases,28,28,Ki,Ki,1.0,3,2010,2013,4.02,5.5,1.4800000000000004
CHEMBL3510,Carbonic anhydrase 14,Homo sapiens,Human,Q9ULX7,Carbonic anhydrases,23,22,Ki,Ki,1.0,5,2008,2012,5.05,7.4,2.3500000000000005
CHEMBL2186,Carbonic anhydrase 13,Mus musculus,Non-human,Q9D6N1,Carbonic anhydrases,21,21,Ki,Ki,1.0,3,2008,2010,4.69,7.35,2.6599999999999993
CHEMBL3025,Carbonic anhydrase 6,Homo sapiens,Human,Q9UF03,Carbonic anhydrases,21,20,Ki,Ki,1.0,5,2008,2012,4.03,7.0,2.9699999999999998
CHEMBL281,Carbonic anhydrase 4,Bos taurus,Non-human,Q95323,Carbonic anhydrases,20,20,Ki,Ki,1.0,1,2000,2000,6.5,9.22,2.7200000000000006
CHEMBL5973,Carbonic anhydrase 15,Mus musculus,Non-human,Q99N23,Carbonic anhydrases,20,19,Ki,Ki,1.0,2,2010,2010,4.03,7.34,3.3099999999999996
CHEMBL2885,Carbonic anhydrase 3,Homo sapiens,Human,P07451,Carbonic anhydrases,18,18,Ki,Ki,1.0,3,2010,2012,4.02,5.42,1.4000000000000004
CHEMBL2283,Carbonic anhydrase 2,Bos taurus,Non-human,Q865Y7,Carbonic anhydrases,2,2,IC50,IC50,1.0,1,2014,2014,4.87,4.95,0.08000000000000007
CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,Human,Q7Z6S2,Monoamine oxidases,714,661,IC50; Ki,IC50,0.988795518207283,64,2002,2024,4.03,9.87,5.839999999999999
CHEMBL1951,Amine oxidase [flavin-containing] A,Homo sapiens,Human,Q16426,Monoamine oxidases,329,313,AC50; EC50; IC50; Ki,IC50,0.9756838905775076,45,2002,2024,4.01,8.42,4.41
CHEMBL2993,Amine oxidase [flavin-containing] B,Rattus norvegicus,Non-human,Q5EBB5,Monoamine oxidases,359,233,IC50,IC50,1.0,16,1994,2022,4.0,9.4,5.4
CHEMBL3358,Amine oxidase [flavin-containing] A,Rattus norvegicus,Non-human,Q63817,Monoamine oxidases,160,133,IC50,IC50,1.0,13,1994,2020,4.0,8.3,4.300000000000001
CHEMBL2756,Amine oxidase [flavin-containing] B,Bos taurus,Non-human,Q864W3,Monoamine oxidases,39,39,Ki,Ki,1.0,2,2006,2012,5.2,6.32,1.12
CHEMBL3254,Amine oxidase [flavin-containing] A,Bos taurus,Non-human,Q0IIE7,Monoamine oxidases,12,12,Ki,Ki,1.0,2,2006,2012,5.62,11.0,5.38
CHEMBL3681,Amine oxidase [flavin-containing] A,Mus musculus,Non-human,Q8K0Z8,Monoamine oxidases,4,3,IC50,IC50,1.0,2,2013,2019,5.24,10.46,5.220000000000001
CHEMBL3050,Amine oxidase [flavin-containing] B,Mus musculus,Non-human,Q8C0B2,Monoamine oxidases,1,1,IC50,IC50,1.0,1,2013,2013,4.54,4.54,0.0
CHEMBL4078,Acetylcholinesterase,Electrophorus electricus,Non-human,O42275,Cholinesterases,449,427,IC50; Ki,IC50,0.9621380846325167,41,2006,2024,4.01,10.38,6.370000000000001
